now,published_at,price,property_status,apartment_type,size,price_m2,property_legal_document,rooms,toilets,furnishing_sell,land_type,direction,pty_characteristics,width,length,house_type,floors,block,unitnumber,size_unit,living_size,apartment_feature,commercial_type,balconydirection,floornumber
2025-10-02T23:52:20.400853,Cập nhật 6 ngày trước,"13,8 tỷ",,,61 m²,"226,23 triệu/m²",Đã có sổ,,,,Đất thổ cư,,,5 m,,,,,,,,,,,
2025-10-02T23:52:22.245751,Cập nhật 7 ngày trước,"6,5 tỷ",,,37 m²,"175,68 triệu/m²",Đã có sổ,4 phòng,5 phòng,Nội thất đầy đủ,,,,,,"Nhà ngõ, hẻm",6,,,,,,,,
2025-10-02T23:52:24.057466,Cập nhật 4 ngày trước,"14,7 tỷ",,,41 m²,"358,54 triệu/m²",Đã có sổ,4 phòng,4 phòng,,,,Nhà nở hậu,,,"Nhà mặt phố, mặt tiền",4,,,,160 m²,,,,
2025-10-02T23:52:25.655007,Cập nhật 6 ngày trước,"12,7 tỷ",,,71 m²,"178,87 triệu/m²",Đã có sổ,7 phòng,4 phòng,,,,,,,"Nhà ngõ, hẻm",3,,,,,,,,
2025-10-02T23:52:29.572847,Cập nhật 8 ngày trước,"5,28 tỷ",Đã bàn giao,Chung cư,86 m²,"61,40 triệu/m²",Sổ hồng riêng,3 phòng,,,,,,,,,,,,,,,,,
2025-10-02T23:52:31.473498,Cập nhật 6 ngày trước,"5,9 tỷ",,,36 m²,"163,89 triệu/m²",Đã có sổ,3 phòng,4 phòng,,,,,4 m,9 m,"Nhà ngõ, hẻm",,,,,36 m²,,,,
2025-10-02T23:52:33.166590,Cập nhật 7 ngày trước,"7,7 tỷ",,,37 m²,"208,11 triệu/m²",Đã có sổ,4 phòng,3 phòng,,,,,,,"Nhà ngõ, hẻm",,,,,,,,,
2025-10-02T23:52:33.435774,Cập nhật 5 ngày trước,7 tỷ,,,19 m²,"368,42 triệu/m²",Đã có sổ,4 phòng,,,,,,,,"Nhà mặt phố, mặt tiền",,,,,,,,,
2025-10-02T23:52:34.820119,Cập nhật 4 ngày trước,"16,5 tỷ",,,79 m²,"208,86 triệu/m²",Đã có sổ,nhiều hơn 10 phòng,,,,,Hẻm xe hơi,,,"Nhà ngõ, hẻm",,,,,79 m²,,,,
2025-10-02T23:52:38.814313,Cập nhật 7 ngày trước,"14,5 tỷ",,,55 m²,"263,64 triệu/m²",Đã có sổ,4 phòng,,Nội thất cao cấp,,,Hẻm xe hơi Nhà nở hậu,5 m,,"Nhà ngõ, hẻm",5,,,,,,,,
2025-10-02T23:52:40.742462,Cập nhật 3 ngày trước,"9,5 tỷ",,,46 m²,"206,52 triệu/m²",Đã có sổ,3 phòng,4 phòng,Nội thất cao cấp,,,,4.25 m,10.15 m,"Nhà ngõ, hẻm",4,,,,46 m²,,,,
2025-10-02T23:52:42.052631,Cập nhật 8 ngày trước,"6,26 tỷ",,,21 m²,"298,10 triệu/m²",Đã có sổ,3 phòng,3 phòng,,,,Hẻm xe hơi,,,"Nhà ngõ, hẻm",,,,,25 m²,,,,
2025-10-02T23:52:42.615012,Cập nhật 6 ngày trước,"7,9 tỷ",,,49 m²,"161,22 triệu/m²",Đã có sổ,5 phòng,,Nội thất cao cấp,,,,,,"Nhà ngõ, hẻm",,,,,,,,,
2025-10-02T23:52:44.943754,Cập nhật 8 ngày trước,"7,95 tỷ",,,38 m²,"209,21 triệu/m²",Đã có sổ,3 phòng,4 phòng,Nội thất đầy đủ,,,,3.5 m,11 m,"Nhà ngõ, hẻm",5,,,,38 m²,,,,
2025-10-02T23:52:48.181063,Cập nhật 6 ngày trước,"4,65 tỷ",,,66.7 m²,"69,72 triệu/m²",Đã có sổ,,,,Đất thổ cư,Tây Bắc,Mặt tiền Hẻm xe hơi Nở hậu,4.5 m,15 m,,,,,,,,,,
2025-10-02T23:52:51.042707,Cập nhật 6 ngày trước,"6,8 tỷ",,,40 m²,170 triệu/m²,Đã có sổ,7 phòng,,,,,Hẻm xe hơi,,,"Nhà ngõ, hẻm",5,,,,,,,,
2025-10-02T23:52:53.382151,Cập nhật 7 ngày trước,899 triệu,,,10 m²,"89,90 triệu/m²",Giấy tờ viết tay,2 phòng,1 phòng,Hoàn thiện cơ bản,,,Hẻm xe hơi,,,"Nhà ngõ, hẻm",,,,,21 m²,,,,
2025-10-02T23:52:58.693436,Cập nhật 7 ngày trước,"5,6 tỷ",,,20 m²,280 triệu/m²,Đã có sổ,2 phòng,,,,,,,,"Nhà ngõ, hẻm",,,,,20 m²,,,,
2025-10-02T23:53:03.433115,Cập nhật 8 ngày trước,"8,2 tỷ",,,31 m²,"264,52 triệu/m²",Đã có sổ,4 phòng,4 phòng,Nội thất đầy đủ,,,,3.4 m,,"Nhà ngõ, hẻm",6,,,,,,,,
2025-10-02T23:53:04.118458,Cập nhật 6 ngày trước,"3,2 tỷ",,,100 m²,32 triệu/m²,Đã có sổ,,,,Đất thổ cư,,Mặt tiền Hẻm xe hơi Thổ cư toàn bộ,5 m,20 m,,,Trại Láng Cổ Đông Sơn Tây,A11,m²,,,,,
2025-10-02T23:53:05.470390,Cập nhật 7 ngày trước,"8,35 tỷ",,,34 m²,"245,59 triệu/m²",Đã có sổ,3 phòng,4 phòng,Nội thất đầy đủ,,,,,,"Nhà ngõ, hẻm",5,,,,34 m²,,,,
2025-10-02T23:53:05.614188,Cập nhật 8 ngày trước,8 tỷ,,,38 m²,"210,53 triệu/m²",Đã có sổ,3 phòng,,Nội thất đầy đủ,,,Hẻm xe hơi Nhà nở hậu,,,"Nhà ngõ, hẻm",,,,,,,,,
2025-10-02T23:53:09.055904,Cập nhật 8 ngày trước,"15,8 tỷ",,,58 m²,"272,41 triệu/m²",Đã có sổ,4 phòng,,,,,,,,"Nhà ngõ, hẻm",,,,,,,,,
2025-10-02T23:53:13.030573,Cập nhật 8 ngày trước,4 tỷ,,,60 m²,"66,67 triệu/m²",Đã có sổ,,,,Đất thổ cư,,,,,,,,,,,,,,
2025-10-02T23:53:14.078386,Cập nhật 6 ngày trước,"7,5 tỷ",,,32 m²,"234,38 triệu/m²",Đã có sổ,3 phòng,,,,,,,,"Nhà ngõ, hẻm",,,,,,,,,
2025-10-02T23:53:15.208289,Cập nhật 6 ngày trước,"13,65 tỷ",,,52 m²,"262,50 triệu/m²",Đã có sổ,6 phòng,5 phòng,Nội thất đầy đủ,,,Hẻm xe hơi Nhà nở hậu,4.2 m,,"Nhà ngõ, hẻm",5,,,,53 m²,,,,
2025-10-02T23:53:15.975335,Cập nhật 6 ngày trước,"5,5 tỷ",,,60 m²,"91,67 triệu/m²",Đã có sổ,2 phòng,1 phòng,Nội thất đầy đủ,,,,,,"Nhà ngõ, hẻm",2,,,,,,,,
2025-10-02T23:53:18.683345,Cập nhật 7 ngày trước,"3,85 tỷ",,,55 m²,70 triệu/m²,Đã có sổ,,,,Đất thổ cư,,,,,,,,,m²,,,,,
2025-10-02T23:53:22.311333,Cập nhật 8 ngày trước,"3,05 tỷ",,,48 m²,"63,54 triệu/m²",Đã có sổ,,,,Đất thổ cư,,,6.4 m,8.5 m,,,,,,,,,,
2025-10-02T23:53:24.610196,Cập nhật 6 ngày trước,"2,77 tỷ",,,15 m²,"184,67 triệu/m²",Đã có sổ,2 phòng,,Nội thất đầy đủ,,,,,,"Nhà ngõ, hẻm",,,,,38 m²,,,,
2025-10-02T23:53:25.895319,Cập nhật 6 ngày trước,"7,79 tỷ",,,35 m²,"222,57 triệu/m²",Đã có sổ,3 phòng,5 phòng,,,,Nhà nở hậu,3.5 m,,"Nhà ngõ, hẻm",6,,,,200 m²,,,,
2025-10-02T23:53:32.155082,Cập nhật 8 ngày trước,21 tỷ,,,60 m²,350 triệu/m²,Đã có sổ,4 phòng,5 phòng,Nội thất đầy đủ,,,Hẻm xe hơi,4.4 m,14 m,"Nhà ngõ, hẻm",4,,,,60 m²,,,,
2025-10-02T23:53:33.956377,Cập nhật 6 ngày trước,"5,75 tỷ",,,33 m²,"174,24 triệu/m²",Đã có sổ,4 phòng,3 phòng,Nội thất cao cấp,,Nam,Nhà nở hậu,4 m,8 m,"Nhà ngõ, hẻm",,,,,35 m²,,,,
2025-10-02T23:53:36.840637,Cập nhật 6 ngày trước,9 tỷ,,,40 m²,225 triệu/m²,Đã có sổ,4 phòng,,Nội thất đầy đủ,,,Hẻm xe hơi Nhà nở hậu,,,"Nhà ngõ, hẻm",,,,,,,,,
2025-10-02T23:53:37.940208,Cập nhật 7 ngày trước,"6,1 tỷ",,,77 m²,"79,22 triệu/m²",Đã có sổ,,,,Đất thổ cư,,Mặt tiền Hẻm xe hơi Thổ cư toàn bộ,5.8 m,,,,,,,,,,,
2025-10-02T23:53:40.630018,Cập nhật 6 ngày trước,5 tỷ,,,39 m²,"128,21 triệu/m²",Đã có sổ,,,,Đất thổ cư,,Mặt tiền Hẻm xe hơi Nở hậu,4 m,10 m,,,,,m²,,,,,
2025-10-02T23:53:42.237692,Cập nhật 1 ngày trước,"12,9 tỷ",,,52 m²,"248,08 triệu/m²",Đã có sổ,4 phòng,3 phòng,,,,Hẻm xe hơi,,,Nhà phố liền kề,4,Khu phân quân đội,,,52 m²,,,,
2025-10-02T23:53:43.445168,Cập nhật 7 ngày trước,"12,55 tỷ",,,48 m²,"261,46 triệu/m²",Đã có sổ,3 phòng,4 phòng,Nội thất đầy đủ,,,Nhà nở hậu,,,"Nhà ngõ, hẻm",5,,,,,,,,
2025-10-02T23:53:47.152088,Cập nhật 8 ngày trước,"3,4 tỷ",,,79 m²,"43,04 triệu/m²",Đã có sổ,,,,Đất thổ cư,,,,,,,,,m²,,,,,
2025-10-02T23:53:47.459328,Cập nhật 7 ngày trước,"8,5 tỷ",,,45 m²,"188,89 triệu/m²",Đã có sổ,4 phòng,,Nội thất cao cấp,,,,4 m,,"Nhà mặt phố, mặt tiền",5,,,,45 m²,,,,
2025-10-02T23:53:51.564641,Cập nhật 7 ngày trước,26 tỷ,,,117 m²,"222,22 triệu/m²",Đã có sổ,,,,Đất thổ cư,,Mặt tiền Nở hậu Thổ cư toàn bộ,9.5 m,12.3 m,,,,,m²,,,,,
2025-10-02T23:53:53.802853,Cập nhật 6 ngày trước,"11,9 tỷ",,,40 m²,"297,50 triệu/m²",Đã có sổ,nhiều hơn 10 phòng,,,,,Hẻm xe hơi,,,"Nhà ngõ, hẻm",,,,,,,,,
2025-10-02T23:53:56.345093,Cập nhật 8 ngày trước,7 tỷ,,,36 m²,"194,44 triệu/m²",Đã có sổ,3 phòng,,,,,,,,"Nhà ngõ, hẻm",5,,,,,,,,
2025-10-02T23:54:00.426800,Cập nhật 6 ngày trước,"8,8 tỷ",,,50 m²,176 triệu/m²,Đã có sổ,nhiều hơn 10 phòng,Nhiều hơn 6 phòng,,,,Nhà nở hậu,,,"Nhà ngõ, hẻm",,,,,300 m²,,,,
2025-10-02T23:54:01.313451,Cập nhật 5 ngày trước,"8,5 tỷ",,,43 m²,"197,67 triệu/m²",Đã có sổ,3 phòng,,,,,,,,"Nhà ngõ, hẻm",,,,,,,,,
2025-10-02T23:54:06.214824,Cập nhật 10 giờ trước,59 tỷ,Chưa bàn giao,"Căn hộ dịch vụ, mini",150 m²,"393,33 triệu/m²",Sổ hồng riêng,nhiều hơn 10 phòng,,Nội thất đầy đủ,,,,,,,,,,,,,,,
2025-10-02T23:54:06.609904,Cập nhật 6 ngày trước,"4,3 tỷ",Đã bàn giao,"Tập thể, cư xá",80 m²,"53,75 triệu/m²",Sổ hồng riêng,3 phòng,,Nội thất đầy đủ,,,,,,,,,,,,,,,
2025-10-02T23:54:10.491967,Cập nhật 7 ngày trước,"7,7 tỷ",,,25 m²,308 triệu/m²,Đã có sổ,2 phòng,3 phòng,Nội thất đầy đủ,,Đông Bắc,,3 m,8 m,"Nhà mặt phố, mặt tiền",3,,,,25 m²,,,,
2025-10-02T23:54:10.535255,Cập nhật 4 ngày trước,"6,4 tỷ",Đã bàn giao,"Tập thể, cư xá",110 m²,"58,18 triệu/m²",Sổ hồng riêng,4 phòng,2 phòng,,,,,,,,,,,,,,,,
2025-10-02T23:54:15.836409,Cập nhật 7 ngày trước,"6,6 tỷ",,,32 m²,"206,25 triệu/m²",Đã có sổ,4 phòng,3 phòng,Hoàn thiện cơ bản,,Đông Nam,Nhà nở hậu,,,"Nhà ngõ, hẻm",,,,,32 m²,,,,
2025-10-02T23:54:16.068826,Cập nhật 8 ngày trước,"9,5 tỷ",,,35 m²,"271,43 triệu/m²",Đã có sổ,3 phòng,,,,,,,,"Nhà ngõ, hẻm",6,,,,,,,,
2025-10-02T23:54:20.143468,Cập nhật 6 ngày trước,"2,09 tỷ",,,76 m²,"27,50 triệu/m²",Đã có sổ,,,,Đất thổ cư,,Mặt tiền Hẻm xe hơi Thổ cư toàn bộ,6.6 m,11.5 m,,,,,m²,,,,,
2025-10-02T23:54:20.109482,Cập nhật 8 ngày trước,"21,6 tỷ",,,77.4 m²,"279,07 triệu/m²",Đã có sổ,5 phòng,3 phòng,Nội thất đầy đủ,,,Hẻm xe hơi,,,"Nhà ngõ, hẻm",4,,,,310 m²,,,,
2025-10-02T23:54:25.467050,Cập nhật 6 ngày trước,"5,2 tỷ",,,200 m²,26 triệu/m²,Đã có sổ,3 phòng,,,,,,8 m,25 m,"Nhà mặt phố, mặt tiền",,,,,,,,,
2025-10-02T23:54:33.228952,Cập nhật 6 ngày trước,"2,75 tỷ",,,35 m²,"78,57 triệu/m²",Đã có sổ,1 phòng,1 phòng,Nội thất cao cấp,,,Hẻm xe hơi,3 m,11.6 m,"Nhà ngõ, hẻm",1,,,,35 m²,,,,
2025-10-02T23:54:34.458130,Cập nhật 5 ngày trước,"7,5 tỷ",,,32 m²,"234,38 triệu/m²",Đã có sổ,1 phòng,1 phòng,Bàn giao thô,,Tây Bắc,,,,Nhà phố liền kề,2,,,,32 m²,,,,
2025-10-02T23:54:36.566331,Cập nhật 7 ngày trước,"18,5 tỷ",,,84 m²,"220,24 triệu/m²",Đã có sổ,4 phòng,4 phòng,,,,,4 m,22 m,"Nhà mặt phố, mặt tiền",4,,,,101 m²,,,,
2025-10-02T23:54:38.410714,Cập nhật 7 ngày trước,"13,95 tỷ",,,42 m²,"332,14 triệu/m²",Đã có sổ,3 phòng,,,,,Hiện trạng khác,3.2 m,14 m,"Nhà mặt phố, mặt tiền",4,,,,42 m²,,,,
2025-10-02T23:54:39.380480,Cập nhật 8 ngày trước,"2,3 tỷ",,,45 m²,"51,11 triệu/m²",Không có sổ,2 phòng,2 phòng,,,,,,,"Nhà ngõ, hẻm",2,,,,,,,,
2025-10-02T23:54:49.083044,Cập nhật 6 ngày trước,"4,75 tỷ",,,52.8 m²,"89,96 triệu/m²",Đã có sổ,,,,Đất thổ cư,,,,,,,,,,,,,,
2025-10-02T23:54:51.703939,Cập nhật 6 ngày trước,"13,1 tỷ",,,40 m²,"327,50 triệu/m²",Đã có sổ,5 phòng,5 phòng,Nội thất đầy đủ,,,Hẻm xe hơi,4 m,10 m,"Nhà mặt phố, mặt tiền",6,,,,45 m²,,,,
2025-10-02T23:54:54.086224,Cập nhật 7 ngày trước,"6,8 tỷ",,,38 m²,"178,95 triệu/m²",Đã có sổ,9 phòng,,,,,Nhà nở hậu,,,"Nhà ngõ, hẻm",,,,,,,,,
2025-10-02T23:55:01.855366,Cập nhật 4 giờ trước,"3,68 tỷ",,,35 m²,"105,14 triệu/m²",Sổ chung / công chứng vi bằng,3 phòng,2 phòng,Nội thất đầy đủ,,Tây Nam,,4 m,9 m,"Nhà ngõ, hẻm",,,,,115 m²,,,,
2025-10-02T23:55:03.156578,Cập nhật 7 ngày trước,"4,95 tỷ",,,26 m²,"190,38 triệu/m²",Đã có sổ,4 phòng,,,,,,,,"Nhà ngõ, hẻm",,,,,,,,,
2025-10-02T23:55:05.853851,Cập nhật 7 ngày trước,"6,949 tỷ",,,80 m²,"86,86 triệu/m²",Đã có sổ,,,,Đất thổ cư,Đông Nam,"Hẻm xe hơi
Thổ cư toàn bộ",4 m,20 m,,,,,,,,,,
2025-10-02T23:55:09.587370,Cập nhật 8 ngày trước,"13,7 tỷ",,,50 m²,274 triệu/m²,Đã có sổ,,,,Đất nền dự án,,,,,,,,,,,,,,
2025-10-02T23:55:15.094855,Cập nhật 6 ngày trước,"17,9 tỷ",,,50 m²,358 triệu/m²,Đã có sổ,3 phòng,3 phòng,,,,,,,"Nhà ngõ, hẻm",4,,,,,,,,
2025-10-02T23:55:16.253837,Cập nhật 6 ngày trước,"6,29 tỷ",,,27 m²,"232,96 triệu/m²",Đã có sổ,2 phòng,3 phòng,Nội thất đầy đủ,,Nam,,3.7 m,,"Nhà ngõ, hẻm",4,,,,27 m²,,,,
2025-10-02T23:55:17.434691,Cập nhật 7 ngày trước,"6,7 tỷ",,,32 m²,"209,38 triệu/m²",Đã có sổ,3 phòng,4 phòng,Nội thất đầy đủ,,,Nhà nở hậu,,,"Nhà ngõ, hẻm",5,,,,,,,,
2025-10-02T23:55:23.298935,Cập nhật 7 ngày trước,"15,5 tỷ",,,50 m²,310 triệu/m²,Đã có sổ,5 phòng,5 phòng,,,,"Hẻm xe hơi
Nhà nở hậu",4.3 m,13 m,"Nhà ngõ, hẻm",5,,,,50 m²,,,,
2025-10-02T23:55:23.272657,Cập nhật 6 ngày trước,"4,6 tỷ",,,30 m²,"153,33 triệu/m²",Đã có sổ,4 phòng,4 phòng,Nội thất đầy đủ,,Đông Bắc,"Hẻm xe hơi
Nhà nở hậu",4.2 m,,"Nhà ngõ, hẻm",5,,,,30 m²,,,,
2025-10-02T23:55:31.472463,Cập nhật 7 ngày trước,"8,4 tỷ",,,45 m²,"186,67 triệu/m²",Đã có sổ,4 phòng,,,,,,,,"Nhà mặt phố, mặt tiền",,,,,,,,,
2025-10-02T23:55:35.014578,Cập nhật 3 ngày trước,"3,8 tỷ",,,45.1 m²,"84,26 triệu/m²",Đã có sổ,,,,Đất thổ cư,Đông Bắc,"Mặt tiền
Hẻm xe hơi
Thổ cư toàn bộ",4.1 m,11 m,,,,,,,,,,
2025-10-02T23:55:37.648730,Cập nhật 8 ngày trước,"5,85 tỷ",Chưa bàn giao,"Tập thể, cư xá",75 m²,78 triệu/m²,Sổ hồng riêng,1 phòng,1 phòng,Bàn giao thô,,,,,,,,,,,,,,,
2025-10-02T23:55:38.755633,Cập nhật 6 ngày trước,"4,1 tỷ",,,36 m²,"113,89 triệu/m²",Không có sổ,4 phòng,3 phòng,,,,,,,"Nhà ngõ, hẻm",4,,,,,,,,
2025-10-02T23:55:50.141808,Cập nhật 6 ngày trước,"26,5 tỷ",,,62 m²,"427,42 triệu/m²",Đã có sổ,,,Nội thất cao cấp,,,,,,,,,,,,,Mặt bằng kinh doanh,,
2025-10-02T23:55:51.289612,Cập nhật 5 ngày trước,"4,88 tỷ",,,22 m²,"221,82 triệu/m²",Đã có sổ,3 phòng,3 phòng,Nội thất đầy đủ,,,,,,"Nhà ngõ, hẻm",5,,,,22 m²,,,,
2025-10-02T23:55:52.764018,Cập nhật 7 ngày trước,6 tỷ,,,68.5 m²,"87,59 triệu/m²",Đã có sổ,,,,Đất thổ cư,,"Thổ cư toàn bộ
Hẻm xe hơi",4 m,17 m,,,,,m²,,,,,
2025-10-02T23:55:59.844304,Cập nhật 7 ngày trước,"8,6 tỷ",,,57 m²,"150,88 triệu/m²",Đã có sổ,4 phòng,,,,,,,,"Nhà ngõ, hẻm",,,,,,,,,
2025-10-02T23:56:03.874907,Cập nhật 6 ngày trước,"5,9 tỷ",,,34 m²,"173,53 triệu/m²",Đã có sổ,2 phòng,2 phòng,Nội thất đầy đủ,,,Nhà nở hậu,,,"Nhà ngõ, hẻm",2,,2,,34 m²,,,,
2025-10-02T23:56:04.167252,Cập nhật 6 ngày trước,"5,1 tỷ",,,65 m²,"78,46 triệu/m²",Đã có sổ,,,,Đất thổ cư,Đông Nam,"Mặt tiền
Hẻm xe hơi
Thổ cư toàn bộ",4 m,16 m,,,,,m²,,,,,
2025-10-02T23:56:06.906954,Cập nhật 8 ngày trước,"7,6 tỷ",,,42.5 m²,"178,82 triệu/m²",Đã có sổ,5 phòng,,,,,Hẻm xe hơi,,,"Nhà ngõ, hẻm",5,,,,,,,,
2025-10-02T23:56:12.042045,Cập nhật 8 ngày trước,"12,6 tỷ",,,55 m²,"229,09 triệu/m²",Đã có sổ,10 phòng,Nhiều hơn 6 phòng,,,,,,,"Nhà ngõ, hẻm",6,,,,,,,,
2025-10-02T23:56:16.983281,Cập nhật 7 ngày trước,"5,5 tỷ",,,35 m²,"157,14 triệu/m²",Đã có sổ,3 phòng,3 phòng,Nội thất đầy đủ,,,Hẻm xe hơi,,,"Nhà ngõ, hẻm",5,,,,,,,,
2025-10-02T23:56:16.445232,Cập nhật 2 ngày trước,"10,5 tỷ",,,51 m²,"205,88 triệu/m²",Đã có sổ,4 phòng,4 phòng,Nội thất đầy đủ,,Tây Nam,"Hẻm xe hơi
Nhà nở hậu",5.5 m,9 m,"Nhà ngõ, hẻm",6,,,,51 m²,,,,
2025-10-02T23:56:15.618391,Cập nhật 7 ngày trước,"7,5 tỷ",,,45 m²,"166,67 triệu/m²",Đã có sổ,3 phòng,,,,,,,,"Nhà ngõ, hẻm",,,,,,,,,
2025-10-02T23:56:22.411748,Cập nhật 7 ngày trước,"6,6 tỷ",,,102 m²,"64,71 triệu/m²",Đã có sổ,,,,Đất thổ cư,Đông,"Hẻm xe hơi
Thổ cư toàn bộ",5 m,20 m,,,,,,,,,,
2025-10-02T23:56:24.484225,Cập nhật 5 ngày trước,"5,25 tỷ",,,34 m²,"154,41 triệu/m²",Đã có sổ,3 phòng,3 phòng,Nội thất cao cấp,,,Nhà nở hậu,5 m,,"Nhà ngõ, hẻm",4,,,,128 m²,,,,
2025-10-02T23:56:32.242200,Cập nhật 6 ngày trước,8 tỷ,,,40 m²,200 triệu/m²,Đã có sổ,3 phòng,,Nội thất cao cấp,,,,,,"Nhà mặt phố, mặt tiền",,,,,40 m²,,,,
2025-10-02T23:56:32.883082,Cập nhật 6 ngày trước,"7,4 tỷ",,,47 m²,"157,45 triệu/m²",Đã có sổ,4 phòng,,,,,,,,"Nhà mặt phố, mặt tiền",,,,,,,,,
2025-10-02T23:56:32.719237,Cập nhật 6 ngày trước,23 tỷ,,,84.3 m²,"272,84 triệu/m²",Đã có sổ,3 phòng,,Nội thất đầy đủ,,,,8.4 m,,"Nhà mặt phố, mặt tiền",,,,,84.3 m²,,,,
2025-10-02T23:56:39.965557,Cập nhật 6 ngày trước,"7,9 tỷ",,,30 m²,"263,33 triệu/m²",Đã có sổ,3 phòng,4 phòng,Nội thất cao cấp,,,Hiện trạng khác,4.2 m,7.5 m,"Nhà ngõ, hẻm",5,,,,30 m²,,,,
2025-10-02T23:56:46.610210,Cập nhật 7 ngày trước,"6,1 tỷ",,,46 m²,"132,61 triệu/m²",Đã có sổ,6 phòng,3 phòng,Nội thất đầy đủ,,,Hiện trạng khác,6 m,,"Nhà ngõ, hẻm",4,,,,,,,,
2025-10-02T23:56:46.511584,Cập nhật 1 ngày trước,"7,2 tỷ",,,30 m²,240 triệu/m²,Đã có sổ,3 phòng,3 phòng,Nội thất đầy đủ,,,,4.1 m,,"Nhà ngõ, hẻm",5,,,,120 m²,,,,
2025-10-02T23:56:48.713223,Cập nhật 4 ngày trước,"11,3 tỷ",,,42 m²,"269,05 triệu/m²",Đã có sổ,4 phòng,,Nội thất cao cấp,,,Hẻm xe hơi,42 m,,"Nhà mặt phố, mặt tiền",,,,,42 m²,,,,
2025-10-02T23:56:52.914065,Cập nhật 6 ngày trước,"7,9 tỷ",,,30 m²,"263,33 triệu/m²",Đã có sổ,3 phòng,,Nội thất đầy đủ,,,Nhà nở hậu,3.5 m,8.5 m,"Nhà ngõ, hẻm",5,,,,150 m²,,,,
2025-10-02T23:56:54.152607,Cập nhật 6 ngày trước,7 tỷ,,,35 m²,200 triệu/m²,Đã có sổ,4 phòng,4 phòng,Nội thất cao cấp,,Đông Bắc,"Hẻm xe hơi
Nhà nở hậu",7 m,5 m,"Nhà ngõ, hẻm",5,,,,,,,,
2025-10-02T23:57:00.924110,Cập nhật 7 ngày trước,"7,15 tỷ",,,44 m²,"162,50 triệu/m²",Đã có sổ,5 phòng,,Nội thất cao cấp,,,,,,"Nhà ngõ, hẻm",6,,,,,,,,
2025-10-02T23:57:01.706269,Cập nhật 6 ngày trước,7 tỷ,,,43 m²,"162,79 triệu/m²",Đã có sổ,3 phòng,,,,,,,,"Nhà ngõ, hẻm",,,,,,,,,
