now,published_at,price,land_type,size,price_m2,property_legal_document,pty_characteristics,width,size_unit,direction,length,house_type,rooms,toilets,furnishing_sell,floors,living_size,property_status,apartment_type,block,commercial_type,floornumber,apartment_feature,property_back_condition,street_id,unitnumber,balconydirection
2025-10-04T12:42:36.418383,Cập nhật 9 ngày trước,"8,5 tỷ",,48 m²,"177,08 triệu/m²",Đã có sổ,,5.3 m,,,,"Nhà ngõ, hẻm",4 phòng,,Hoàn thiện cơ bản,4,48 m²,,,,,,,,,,
2025-10-04T12:42:37.202020,Cập nhật 9 ngày trước,"1,95 tỷ",,23 m²,"84,78 triệu/m²",Đang chờ sổ,,,,,,"Nhà ngõ, hẻm",3 phòng,4 phòng,Nội thất đầy đủ,4,90 m²,,,,,,,,,,
2025-10-04T12:42:42.628274,Cập nhật 9 ngày trước,"5,65 tỷ",Đất thổ cư,66 m²,"85,61 triệu/m²",Đã có sổ,Hẻm xe hơi Thổ cư toàn bộ,4 m,,Tây Bắc,16 m,,,,,,,,,,,,,,,,
2025-10-04T12:42:46.512325,Cập nhật 9 ngày trước,"7,35 tỷ",,38 m²,"193,42 triệu/m²",Đã có sổ,,4 m,,,,"Nhà ngõ, hẻm",3 phòng,,,,,,,,,,,,,,
2025-10-04T12:42:53.156616,Cập nhật 2 ngày trước,"6,4 tỷ",,31 m²,"206,45 triệu/m²",Đã có sổ,,4 m,,Nam,,"Nhà ngõ, hẻm",3 phòng,4 phòng,Nội thất đầy đủ,5,54 m²,,,,,,,,,,
2025-10-04T12:42:55.806174,Cập nhật 9 ngày trước,"12,1 tỷ",,46 m²,"263,04 triệu/m²",Đã có sổ,,,,,,"Nhà ngõ, hẻm",4 phòng,,Nội thất đầy đủ,4,,,,,,,,,,,
2025-10-04T12:42:56.799524,Cập nhật 9 ngày trước,"5,2 tỷ",,75 m²,"69,33 triệu/m²",Sổ hồng riêng,,,,,,,3 phòng,,,,,Chưa bàn giao,"Tập thể, cư xá",,,,,,,,
2025-10-04T12:42:56.706480,Cập nhật 9 ngày trước,"7,93 tỷ",,34 m²,"233,24 triệu/m²",Đã có sổ,Nhà nở hậu,3.9 m,,,,"Nhà ngõ, hẻm",4 phòng,4 phòng,Nội thất đầy đủ,,,,,,,,,,,,
2025-10-04T12:42:56.892924,Cập nhật 9 ngày trước,"5,8 tỷ",,30.5 m²,"190,16 triệu/m²",Đã có sổ,Nhà nở hậu,3.6 m,,,10 m,"Nhà mặt phố, mặt tiền",3 phòng,3 phòng,Nội thất cao cấp,5,30.5 m²,,,,,,,,,,
2025-10-04T12:43:02.509467,Cập nhật 3 ngày trước,"11,9 tỷ",,42 m²,"283,33 triệu/m²",Đã có sổ,,4 m,,,,"Nhà mặt phố, mặt tiền",3 phòng,,Nội thất cao cấp,,42 m²,,,,,,,,,,
2025-10-04T12:43:07.125292,Cập nhật 9 ngày trước,"9,5 tỷ",Đất thổ cư,451 m²,"21,06 triệu/m²",Đã có sổ,Mặt tiền Hẻm xe hơi Nở hậu Thổ cư 1 phần,,m²,,,,,,,,,,,,,,,,,,
