now,published_at,price,house_type,size,price_m2,property_legal_document,rooms,furnishing_sell,floors,toilets,pty_characteristics,width,land_type,direction,length,block,size_unit,living_size,property_status,apartment_type,balconydirection,floornumber,apartment_feature,commercial_type
2025-10-03T07:55:25.729395,Cập nhật 7 ngày trước,135 tỷ,"Nhà mặt phố, mặt tiền",288 m²,"468,75 triệu/m²",Đã có sổ,nhiều hơn 10 phòng,Nội thất cao cấp,8,Nhiều hơn 6 phòng,Hẻm xe hơi,16 m,,,,,,,,,,,,
2025-10-03T07:55:33.666097,Cập nhật 8 ngày trước,"4,4 tỷ",,65 m²,"67,69 triệu/m²",Đã có sổ,,,,,,7 m,Đất thổ cư,,9 m,,,,,,,,,
2025-10-03T07:55:36.654719,Cập nhật 8 ngày trước,"6,2 tỷ","Nhà ngõ, hẻm",30 m²,"206,67 triệu/m²",Đã có sổ,3 phòng,,5,4 phòng,,,,,,,,,,,,,,
2025-10-03T07:55:38.401440,Cập nhật 8 ngày trước,"7,7 tỷ",,170 m²,"45,29 triệu/m²",Sổ hồng riêng,6 phòng,,,,,,,,,,,,Đã bàn giao,Duplex,,,,
2025-10-03T07:55:49.937027,Cập nhật 6 ngày trước,"11,6 tỷ","Nhà mặt phố, mặt tiền",45 m²,"257,78 triệu/m²",Đã có sổ,3 phòng,,,4 phòng,,,,,,,,,,,,,,
2025-10-03T07:55:50.726874,Cập nhật 7 ngày trước,"2,4 tỷ",,50 m²,48 triệu/m²,Sổ hồng riêng,1 phòng,Nội thất đầy đủ,,1 phòng,,,,,,,,,Đã bàn giao,"Tập thể, cư xá",,,,
2025-10-03T07:56:03.292599,Cập nhật 6 ngày trước,"6,38 tỷ","Nhà ngõ, hẻm",34 m²,"187,65 triệu/m²",Đã có sổ,3 phòng,Nội thất đầy đủ,5,5 phòng,Nhà nở hậu,3.4 m,,,8 m,,,34 m²,,,,,,
2025-10-03T07:56:08.531204,Cập nhật 7 ngày trước,"2,68 tỷ",Nhà phố liền kề,32 m²,"83,75 triệu/m²",Đã có sổ,3 phòng,Nội thất cao cấp,2,3 phòng,"Hẻm xe hơi
Nhà nở hậu",4 m,,,8 m,,,32 m²,,,,,,
2025-10-03T07:56:13.025435,Cập nhật 7 ngày trước,"8,7 tỷ","Nhà ngõ, hẻm",43 m²,"202,33 triệu/m²",Đã có sổ,4 phòng,,,,,,,,,,,,,,,,,
2025-10-03T07:56:17.671605,Cập nhật 8 ngày trước,"1,75 tỷ",,38 m²,"46,05 triệu/m²",Sổ hồng riêng,1 phòng,Nội thất đầy đủ,,1 phòng,,,,,,,,,Đã bàn giao,"Căn hộ dịch vụ, mini",,8,,
2025-10-03T07:56:20.821086,Cập nhật 6 ngày trước,"6,8 tỷ","Nhà ngõ, hẻm",54 m²,"125,93 triệu/m²",Đã có sổ,3 phòng,,,,,,,,,,,,,,,,,
2025-10-03T07:56:26.071868,Cập nhật 8 ngày trước,"3,8 tỷ","Nhà ngõ, hẻm",48 m²,"79,17 triệu/m²",Đã có sổ,4 phòng,Nội thất đầy đủ,4,3 phòng,"Hẻm xe hơi
Nhà nở hậu",4 m,,Nam,11.2 m,,,48 m²,,,,,,
2025-10-03T07:56:30.008765,Cập nhật 8 ngày trước,"6,8 tỷ",,90 m²,"75,56 triệu/m²",Đã có sổ,,,,,,7 m,Đất thổ cư,,,,m²,,,,,,,
2025-10-03T07:56:35.450764,Cập nhật 7 ngày trước,"14,989 tỷ","Nhà ngõ, hẻm",51 m²,"293,90 triệu/m²",Đã có sổ,4 phòng,Nội thất cao cấp,4,,Nhà nở hậu,5.8 m,,,10.1 m,,,205 m²,,,,,,
