now,published_at,price,house_type,size,living_size,price_m2,property_legal_document,rooms,toilets,furnishing_sell,width,length,floors,property_status,apartment_type,pty_characteristics,land_type,size_unit,direction,commercial_type,floornumber,block,balconydirection,unitnumber,apartment_feature
2025-10-04T00:08:30.378893,Cập nhật 7 ngày trước,"2,625 tỷ",,63 m²,,"41,67 triệu/m²",Đã có sổ,,,,4 m,16 m,,,,,Đất thổ cư,m²,,,,,,,
2025-10-04T00:08:32.575720,Cập nhật 5 ngày trước,"36,8 tỷ","Nhà mặt phố, mặt tiền",50 m²,400 m²,736 triệu/m²,Đã có sổ,7 phòng,Nhiều hơn 6 phòng,,5 m,10 m,8,,,Nhà nở hậu,,,,,,,,,
2025-10-04T00:08:42.515601,Cập nhật 8 ngày trước,"13,8 tỷ","Nhà ngõ, hẻm",45 m²,45 m²,"306,67 triệu/m²",Đã có sổ,4 phòng,5 phòng,Hoàn thiện cơ bản,,,,,,"Hẻm xe hơi
Nhà nở hậu",,,,,,,,,
2025-10-04T00:08:43.393315,Cập nhật 9 ngày trước,10 tỷ,"Nhà ngõ, hẻm",40 m²,,250 triệu/m²,Đã có sổ,4 phòng,,Nội thất cao cấp,,,6,,,,,,,,,,,,
2025-10-04T00:08:46.108386,Cập nhật 8 ngày trước,"7,5 tỷ","Nhà ngõ, hẻm",46 m²,,"163,04 triệu/m²",Đã có sổ,4 phòng,4 phòng,,,,5,,,,,,,,,,,,
2025-10-04T00:08:47.186966,Cập nhật 7 ngày trước,"6,45 tỷ","Nhà ngõ, hẻm",30 m²,,215 triệu/m²,Đã có sổ,3 phòng,,,,,,,,,,,,,,,,,
2025-10-04T00:08:54.473992,Cập nhật 8 ngày trước,"17,6 tỷ","Nhà ngõ, hẻm",45 m²,,"391,11 triệu/m²",Đã có sổ,3 phòng,,Nội thất cao cấp,,,6,,,"Nhà nở hậu
Hẻm xe hơi",,,,,,,,,
2025-10-04T00:09:04.942539,Cập nhật 9 ngày trước,28 tỷ,Nhà phố liền kề,100 m²,700 m²,280 triệu/m²,Đã có sổ,nhiều hơn 10 phòng,Nhiều hơn 6 phòng,Nội thất cao cấp,6.5 m,15 m,7,,,Nhà nở hậu,,,Tây Nam,,,,,,
2025-10-04T00:09:07.538308,Cập nhật 14 giờ trước,"2,55 tỷ","Nhà ngõ, hẻm",18 m²,68 m²,"141,67 triệu/m²",Đã có sổ,3 phòng,3 phòng,Nội thất đầy đủ,,,4,,,,,,,,,,,,
2025-10-04T00:09:19.207013,Cập nhật 2 ngày trước,5 tỷ,"Nhà ngõ, hẻm",30 m²,30 m²,"166,67 triệu/m²",Đã có sổ,3 phòng,4 phòng,Nội thất đầy đủ,4 m,8 m,5,,,"Hẻm xe hơi
Nhà nở hậu",,,Đông Nam,,,,,,
2025-10-04T00:09:29.783906,Cập nhật 8 ngày trước,"11,9 tỷ","Nhà ngõ, hẻm",42 m²,,"283,33 triệu/m²",Đã có sổ,4 phòng,,Nội thất đầy đủ,,,,,,Hẻm xe hơi,,,,,,,,,
2025-10-04T00:09:37.029697,Cập nhật 8 ngày trước,8 tỷ,"Nhà ngõ, hẻm",31 m²,,"258,06 triệu/m²",Đã có sổ,3 phòng,,,,,,,,,,,,,,,,,
2025-10-04T00:09:38.308811,Cập nhật 7 ngày trước,"6,75 tỷ","Nhà ngõ, hẻm",55 m²,55 m²,"122,73 triệu/m²",Đã có sổ,3 phòng,,Nội thất cao cấp,4 m,,5,,,,,,,,,,,,
2025-10-04T00:09:42.169003,Cập nhật 8 ngày trước,"5,2 tỷ",,1000 m²,,"5,20 triệu/m²",Đã có sổ,,,,35 m,,,,,Mặt tiền,Đất thổ cư,,,,,,,,
2025-10-04T00:09:43.004476,Cập nhật 7 ngày trước,"1,48 tỷ",,35 m²,,"42,29 triệu/m²",Hợp đồng mua bán,1 phòng,1 phòng,Nội thất đầy đủ,,,,Đã bàn giao,"Căn hộ dịch vụ, mini",,,,,,2,7,,,
2025-10-04T00:09:50.595823,Cập nhật 8 ngày trước,"14,5 tỷ","Nhà ngõ, hẻm",45 m²,,"322,22 triệu/m²",Đã có sổ,6 phòng,,,,,5,,,Hẻm xe hơi,,,,,,,,,
2025-10-04T00:09:59.494001,Cập nhật 9 ngày trước,10 tỷ,,80 m²,,125 triệu/m²,Đã có sổ,,,,5 m,16 m,,,,"Mặt tiền
Hẻm xe hơi
Thổ cư toàn bộ",Đất nền dự án,m²,Nam,,,,,,
2025-10-04T00:10:00.686953,Cập nhật 7 ngày trước,"6,98 tỷ","Nhà ngõ, hẻm",40 m²,200 m²,"174,50 triệu/m²",Đã có sổ,3 phòng,4 phòng,Nội thất cao cấp,4 m,10 m,5,,,,,,,,,,,,
2025-10-04T00:10:02.752722,Cập nhật 8 ngày trước,"7,8 tỷ","Nhà mặt phố, mặt tiền",43 m²,,"181,40 triệu/m²",Đã có sổ,4 phòng,,,,,,,,,,,,,,,,,
2025-10-04T00:10:13.255525,Cập nhật 7 ngày trước,"4,4 tỷ",Nhà phố liền kề,35 m²,35 m²,"125,71 triệu/m²",Đã có sổ,3 phòng,4 phòng,Hoàn thiện cơ bản,,,4,,,,,,,,,,,,
2025-10-04T00:10:17.081634,Cập nhật 9 ngày trước,15 tỷ,"Nhà mặt phố, mặt tiền",41 m²,43 m²,"365,85 triệu/m²",Đã có sổ,5 phòng,4 phòng,,,,,,,"Hẻm xe hơi
Nhà nở hậu",,,,,,,,,
2025-10-04T00:10:25.650256,Cập nhật 16 giờ trước,"31,5 tỷ","Nhà ngõ, hẻm",106 m²,,"297,17 triệu/m²",Đã có sổ,8 phòng,,,5 m,,6,,,Hẻm xe hơi,,,,,,,,,
2025-10-04T00:10:25.856559,Cập nhật 8 ngày trước,"6,8 tỷ","Nhà ngõ, hẻm",42 m²,,"161,90 triệu/m²",Đã có sổ,3 phòng,,,,,,,,,,,,,,,,,
